Cluster,Player Count,Age,Season,PA,wRC+,xwOBA,OFF,xBA,K%,BB%,P/PA,SwStr%,50th_max_velo,Brls/BBE%,HardHit%,HR/FB%,Spd,BsR,GB%,LD%,FB%,IFH%,Pull%,Oppo%,Swing%,O-Swing%,O-Contact%,Z-Swing%,Z-Contact%,LA,HR,SB,Meatball_Swing%,F_Strike%,Solid_Contact%
1,14,28.0,2023.0,603.0,123.43,0.35,18.56,0.26,18.11,12.43,4.11,6.8,99.24,7.46,37.84,13.0,4.03,0.16,39.19,20.59,40.22,6.11,42.99,22.76,39.85,24.13,69.61,61.37,89.94,15.17,21.36,11.07,70.94,58.29,7.0
2,11,25.18,2023.0,574.45,91.0,0.31,-3.67,0.26,20.96,5.05,3.68,12.49,99.66,6.15,38.21,9.53,5.95,2.35,47.85,21.08,31.07,6.95,36.95,26.85,53.65,40.64,64.0,72.45,87.12,8.94,12.73,18.45,78.28,64.07,5.5
3,11,27.91,2023.0,614.09,123.45,0.35,17.79,0.25,26.17,10.65,4.05,13.76,102.02,13.86,45.85,18.95,4.26,0.38,37.81,18.89,43.29,7.68,43.28,22.94,47.65,31.84,56.13,71.18,80.95,15.8,30.82,8.73,78.58,59.8,6.66
4,16,28.44,2023.0,591.75,114.94,0.34,9.81,0.27,24.59,7.07,3.73,15.57,102.13,11.7,46.01,18.04,3.8,-0.9,42.52,20.43,37.06,6.92,42.33,22.76,54.41,39.19,56.42,77.37,82.66,12.47,26.38,9.94,84.29,63.99,7.27
5,4,26.25,2023.0,635.25,100.75,0.31,5.05,0.28,11.68,7.65,3.75,4.3,95.55,1.7,25.02,3.82,5.48,3.25,45.52,23.75,30.78,6.08,28.98,31.7,45.25,30.28,83.52,63.12,94.28,10.52,6.25,21.75,70.22,61.9,3.28
6,20,29.15,2023.0,639.75,120.2,0.34,16.06,0.26,18.73,9.99,3.96,8.9,100.4,8.42,41.54,13.59,4.64,0.09,39.98,20.13,39.88,6.97,42.98,23.4,45.58,28.84,67.82,68.54,87.7,14.26,24.0,12.45,76.65,59.92,6.86
7,26,28.0,2023.0,624.08,109.42,0.34,8.12,0.27,21.03,8.28,3.88,11.1,101.19,9.43,44.0,14.57,4.1,0.0,44.63,20.07,35.29,6.53,40.85,24.58,48.36,32.09,63.25,71.25,85.71,11.26,22.27,12.0,79.48,61.17,6.96
8,3,28.67,2023.0,611.0,116.33,0.36,11.7,0.22,29.5,15.4,4.27,11.03,102.3,15.57,45.97,21.53,3.4,-1.17,31.9,17.33,50.8,6.03,49.53,18.33,38.57,24.03,54.9,59.8,81.0,21.03,36.33,4.67,68.4,56.53,7.53
9,8,27.88,2023.0,634.38,121.75,0.35,15.95,0.25,25.36,11.08,4.13,11.22,102.68,14.16,48.11,17.62,2.91,-1.27,35.76,18.1,46.14,5.59,43.44,21.9,45.2,28.65,62.76,68.82,82.26,17.81,32.25,2.5,76.8,58.64,7.94
10,21,27.9,2023.0,581.19,97.19,0.32,-1.18,0.26,17.35,7.73,3.83,7.7,98.69,5.17,36.5,8.95,4.74,-0.04,44.13,20.91,34.95,6.37,36.7,27.12,46.11,30.81,71.57,65.92,90.28,11.22,13.14,12.76,73.88,61.17,5.96
